Institution_ID,Undergraduate_Enrollment_FTE,Graduate_Enrollment_FTE,Reported_Undergraduate_Enrollment_FTE,Reported_Graduate_Enrollment_FTE,Doctors_Professional_Practice_FTE,Activity_Type,Year
126748,753.0,,753.0,,,2,2016
126775,4800.0,1050.0,4800.0,1050.0,,2,2016
126784,186.0,,186.0,,,1,2016
126818,22080.0,4176.0,22080.0,4176.0,555.0,2,2016
126827,22281.0,2930.0,22281.0,2930.0,,2,2016
126863,4082.0,,4082.0,,,2,2016
126872,325.0,,325.0,,,2,2016
126915,255.0,,255.0,,,2,2016
126942,5627.0,,5626.0,,,2,2016
126951,1251.0,,1251.0,,,2,2016
126979,,585.0,,585.0,,-2,2016
127060,5697.0,4303.0,5697.0,4303.0,807.0,2,2016
127158,3117.0,,3117.0,,,2,2016
127185,3472.0,8.0,3472.0,8.0,,2,2016
127200,12751.0,,11719.0,,,2,2016
127219,44.0,,44.0,,,3,2016
127228,116.0,,116.0,,,3,2016
127273,,238.0,,238.0,,-2,2016
127316,158.0,,158.0,,,1,2016
127389,600.0,,600.0,,,2,2016
127556,7686.0,102.0,7686.0,102.0,15.0,2,2016
127565,15421.0,388.0,15421.0,388.0,,2,2016
127617,860.0,,872.0,,,2,2016
127653,387.0,465.0,387.0,465.0,,2,2016
127680,180.0,,180.0,,,2,2016
127714,359.0,,359.0,,,2,2016
127732,1243.0,,1243.0,,,2,2016
127741,8475.0,1902.0,8475.0,1902.0,,2,2016
127778,1022.0,,1022.0,,,2,2016
127787,298.0,,298.0,,,2,2016
127820,9092.0,,9092.0,,,2,2016
127839,573.0,,573.0,,,2,2016
127884,4152.0,,4152.0,,,2,2016
127909,5909.0,,5909.0,,,2,2016
127918,3553.0,2297.0,3553.0,2297.0,867.0,2,2016
127945,903.0,18.0,903.0,18.0,,2,2016
127954,14.0,21.0,14.0,21.0,,1,2016
128106,3941.0,2678.0,3941.0,2678.0,,2,2016
128151,589.0,,589.0,,,2,2016
